City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Ondjiva,AO,82.98,overcast clouds,-17.0667,15.7333,COMBUESA
225,Ugoofaaru,MV,82.15,overcast clouds,5.6667,73.0,Ungoofaaru Inn
226,Barabai,ID,73.63,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
227,Isiolo,KE,71.38,light rain,0.3546,37.5822,Gaddisa Hotel
230,Marsaxlokk,MT,73.08,clear sky,35.8419,14.5431,Water's Edge
232,Batticaloa,LK,78.04,moderate rain,7.7102,81.6924,Grand Star Guest House
239,Tebingtinggi,ID,77.05,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
241,Bubaque,GW,83.17,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
242,Victoria,HK,78.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
243,Sorong,ID,80.29,moderate rain,-0.8833,131.25,waigo splash hotel
245,Chuy,UY,72.45,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
246,Marsh Harbour,BS,78.49,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
247,Faanui,PF,78.87,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
250,Saposoa,PE,88.61,overcast clouds,-6.934,-76.7716,Hostal Primavera
252,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
253,Poum,NC,73.89,overcast clouds,-20.2333,164.0167,Gîte kajeon
255,Santa Cruz Cabralia,BR,79.03,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
259,Marzuq,YE,71.13,clear sky,14.4,46.4667,
260,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
261,Sur,OM,75.76,clear sky,22.5667,59.5289,Sur Plaza Hotel
262,Tukrah,LY,78.84,broken clouds,32.5341,20.5791,Lagrota restaurant
264,Gasa,PS,71.91,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
266,Hambantota,LK,79.39,light rain,6.1241,81.1185,Bungalow 63
267,Kananga,CD,72.79,few clouds,-5.8958,22.4178,Guest House Wood Land
269,San Marcos,US,87.22,haze,33.1434,-117.1661,Hampton Inn San Marcos
270,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
