City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Yar-Sale,RU,66.8333,70.8333,32.49,89,100,22.73,overcast clouds
79,Carballo,ES,43.213,-8.691,53.29,86,52,6.42,broken clouds
80,Wamba,NG,8.9333,8.6,80.28,67,55,2.42,broken clouds
81,Matagami,CA,49.7502,-77.6328,34.16,49,100,9.15,overcast clouds
82,Murdochville,CA,48.9583,-65.5006,31.84,46,11,6.89,few clouds
83,Baykit,RU,61.67,96.37,10.63,92,100,8.43,overcast clouds
84,Filingue,NE,14.3521,3.3168,93.18,17,3,6.85,clear sky
85,Sidhi,IN,24.4167,81.8833,64.4,47,96,1.99,overcast clouds
86,Hobart,AU,-42.8794,147.3294,46.11,91,20,1.99,few clouds
87,Rognan,NO,67.0953,15.3878,41.14,86,59,6.55,broken clouds
88,East London,ZA,-33.0153,27.9116,67.86,84,23,6.24,few clouds
89,Hithadhoo,MV,-0.6,73.0833,82.56,73,100,11.83,overcast clouds
90,Chapais,CA,49.7834,-74.8492,26.38,55,100,8.32,overcast clouds
91,Kapaa,US,22.0752,-159.319,78.78,83,90,5.99,moderate rain
92,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.96,78,14,14.92,few clouds
93,Fort Nelson,CA,58.8053,-122.7002,38.46,66,46,0.96,scattered clouds
94,Thompson,CA,55.7435,-97.8558,37.8,48,100,5.14,overcast clouds
95,Chipiona,ES,36.7366,-6.437,61.02,51,20,5.75,few clouds
96,New Norfolk,AU,-42.7826,147.0587,45.75,78,0,2.04,clear sky
97,Ossora,RU,59.2353,163.0719,22.03,90,100,6.2,overcast clouds
98,Srednekolymsk,RU,67.45,153.6833,-12.15,92,80,2.28,broken clouds
99,Demidov,RU,55.2706,31.515,45.66,78,100,12.15,light rain
100,Constitucion,CL,-35.3333,-72.4167,62.01,46,0,25.75,clear sky
101,Meulaboh,ID,4.1363,96.1285,76.69,90,100,2.64,overcast clouds
102,Geraldton,AU,-28.7667,114.6,64.81,63,90,12.66,overcast clouds
103,Bennington,US,42.8781,-73.1968,46.49,60,75,5.75,broken clouds
104,Klaksvik,FO,62.2266,-6.589,45.52,75,93,22.46,overcast clouds
105,Lampazos De Naranjo,MX,27.0167,-100.5167,56.88,81,100,8.59,overcast clouds
106,Qaanaaq,GL,77.484,-69.3632,6.35,57,0,8.19,clear sky
107,Nata,PA,8.3333,-80.5167,79.47,72,81,3.69,broken clouds
108,Husavik,IS,66.0449,-17.3389,30.88,96,98,5.19,light snow
109,Dicabisagan,PH,17.0818,122.4157,76.46,87,100,5.73,overcast clouds
110,Hay River,CA,60.8156,-115.7999,40.05,64,36,8.66,scattered clouds
111,Tuatapere,NZ,-46.1333,167.6833,49.82,93,100,2.28,overcast clouds
112,Ostrovnoy,RU,68.0531,39.5131,36.23,91,100,15.41,overcast clouds
113,Nemuro,JP,43.3236,145.575,48.92,78,100,12.35,overcast clouds
114,Price,US,39.5994,-110.8107,60.73,40,1,4.61,clear sky
115,Komsomolskiy,UZ,40.4272,71.7189,38.12,48,75,4.61,haze
116,Port Lincoln,AU,-34.7333,135.8667,57.83,85,100,11.56,overcast clouds
117,San Patricio,US,28.017,-97.5169,59.09,68,87,14.65,overcast clouds
118,Manado,ID,1.487,124.8455,75.97,94,75,1.14,broken clouds
119,Los Algarrobos,PA,8.5,-82.4333,83.46,74,40,10.36,scattered clouds
120,Aykhal,RU,66.0,111.5,-7.26,97,100,21.5,overcast clouds
121,Jumla,NP,29.2747,82.1838,40.19,67,0,4.12,clear sky
122,Syamzha,RU,60.0158,41.0614,43.68,89,100,11.7,overcast clouds
123,Barrow,US,71.2906,-156.7887,23.02,80,90,13.8,overcast clouds
124,Mahon,ES,39.8885,4.2658,50.56,93,75,11.5,shower rain
125,Tiksi,RU,71.6872,128.8694,2.37,77,100,23.04,overcast clouds
126,Polyarnyye Zori,RU,67.3661,32.4981,33.71,99,100,5.08,light rain
127,Norman Wells,CA,65.282,-126.8329,22.98,84,7,1.7,clear sky
128,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,29,4.99,scattered clouds
129,Bagdarin,RU,54.4333,113.6,4.33,54,0,9.8,clear sky
130,Mae Sai,TH,20.4335,99.8762,71.44,99,94,1.14,overcast clouds
131,Yerbogachen,RU,61.2767,108.0108,-2.56,94,66,9.1,broken clouds
132,Maridi,SS,4.9158,29.4742,69.76,88,100,1.05,overcast clouds
133,Bereda,ES,43.2686,-7.5406,49.75,98,8,1.88,clear sky
134,Tazovskiy,RU,67.4667,78.7,28.87,92,100,21.07,overcast clouds
135,Colares,PT,38.7992,-9.4469,58.28,63,0,1.99,clear sky
136,Tuktoyaktuk,CA,69.4541,-133.0374,21.67,89,98,15.99,overcast clouds
137,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,13,0,16.11,clear sky
138,Sarangani,PH,5.4033,125.4636,83.23,75,81,12.21,broken clouds
139,Lebu,CL,-37.6167,-73.65,54.95,55,0,19.06,clear sky
140,Sitka,US,57.0531,-135.33,39.09,87,75,4.61,broken clouds
141,Padang,ID,-0.9492,100.3543,76.59,87,100,1.74,overcast clouds
142,Faya,SA,18.3851,42.4509,57.72,35,0,2.13,clear sky
143,Severo-Kurilsk,RU,50.6789,156.125,36.0,80,100,3.91,overcast clouds
144,Roald,NO,62.5833,6.1333,46.33,93,40,5.75,scattered clouds
145,Porto,PT,41.1496,-8.611,55.96,75,20,3.0,few clouds
146,Avera,US,33.194,-82.5271,56.71,40,100,10.25,overcast clouds
147,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,8.05,broken clouds
148,Praia,CV,14.9215,-23.5087,81.14,69,0,8.05,clear sky
149,Honningsvag,NO,70.9821,25.9704,33.55,86,75,3.44,broken clouds
150,Port Hedland,AU,-20.3167,118.5667,71.65,78,4,5.75,clear sky
151,San Miguel,SV,13.4833,-88.1833,86.7,57,97,2.33,overcast clouds
152,Hermanus,ZA,-34.4187,19.2345,62.91,85,97,9.71,overcast clouds
153,Oda,JP,35.1833,132.5,55.98,72,20,4.14,few clouds
154,Ninotsminda,GE,41.2646,43.5916,43.25,88,21,4.56,few clouds
155,Ostersund,SE,63.1792,14.6357,40.6,100,90,5.75,overcast clouds
156,Lanzhou,CN,36.0564,103.7922,49.15,65,0,2.24,clear sky
157,Coihaique,CL,-45.5752,-72.0662,50.61,66,96,13.85,overcast clouds
158,Macia,MZ,-25.0269,33.0989,69.64,80,10,8.79,clear sky
159,Vysokogornyy,RU,50.1167,139.15,29.91,71,93,2.59,overcast clouds
160,Bilma,NE,18.6853,12.9164,83.64,13,0,7.67,clear sky
161,Saint Anthony,US,45.0205,-93.218,53.44,63,20,3.0,few clouds
162,Yarmouth,US,41.7057,-70.2286,52.11,61,90,5.99,overcast clouds
163,Haines Junction,CA,60.7522,-137.5108,32.29,76,83,2.84,broken clouds
164,Zarubino,RU,42.63,131.0922,48.24,80,9,3.13,clear sky
165,Changping,CN,40.2186,116.2197,46.04,55,0,2.42,clear sky
166,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,78,100,15.64,overcast clouds
167,Nabire,ID,-3.3667,135.4833,75.83,90,100,3.09,overcast clouds
168,Carnarvon,AU,-24.8667,113.6333,64.47,72,40,20.71,scattered clouds
169,Parauna,BR,-16.9478,-50.4486,81.46,63,77,6.6,broken clouds
170,Sosua,DO,19.7667,-70.5167,89.58,78,75,9.22,broken clouds
171,Sawtell,AU,-30.3833,153.1,64.18,88,75,2.3,broken clouds
172,Kutum,SD,14.2,24.6667,76.68,24,0,10.27,clear sky
173,Raglan,NZ,-37.8,174.8833,62.1,76,100,10.87,overcast clouds
174,Bethel,US,41.3712,-73.414,51.12,45,20,4.61,few clouds
175,Egvekinot,RU,66.3167,-179.1667,-3.46,80,18,9.08,few clouds
176,Vicuna,CL,-30.0319,-70.7081,81.77,39,100,9.73,overcast clouds
177,Santa Rosa,PH,14.3122,121.1114,82.11,77,95,6.42,overcast clouds
178,Palmer,US,42.1584,-72.3287,51.15,42,75,3.0,broken clouds
179,Zhangjiakou,CN,40.81,114.8794,44.92,46,2,3.0,clear sky
180,Coquimbo,CL,-29.9533,-71.3436,64.13,63,0,17.27,clear sky
181,Sahbuz,AZ,39.4072,45.5739,49.6,75,65,5.5,broken clouds
182,Dunedin,NZ,-45.8742,170.5036,50.05,69,42,2.19,scattered clouds
183,Ketchikan,US,55.3422,-131.6461,45.07,76,90,9.22,light rain
184,Namatanai,PG,-3.6667,152.4333,79.92,77,96,10.33,overcast clouds
185,Hasaki,JP,35.7333,140.8333,50.4,54,37,12.73,scattered clouds
186,Belaya Gora,RU,68.5333,146.4167,-7.35,99,92,3.42,overcast clouds
187,Ruidoso,US,33.3317,-105.673,62.91,28,1,10.36,clear sky
